institucion,StartDate,EndDate,Status,IPAddress,Progress,Duration _in seconds_,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,X1,X2_1,X2_2,X2_3,X2_4,X2_5,X2_6,X3_1,X3_2,X3_3,X3_4,X3_5,X3_6,X3_7,X3_8,X3_9,X3_10,X3_11,X3_10_TEXT,X4_1,X4_2,X4_3,X4_4,X4_5,X5,X6,X7_1,X8_1,X8_2,X8_3,X8_4,X8_5,X8_6,X8_7,X8_8,X8_9,X8_10,X8_11,X8_12,X8_13,X8_14,X8_15,X8_16,X8_17,X8_17_TEXT,X9_1,X9_2,X9_3,X9_4,X9_5,X9_6,X9_7,X9_8,X9_9,X9_10,X9_11,X9_12,X9_13,X9_14,X9_15,X10,X11,X12,X13,X14,X15,X16,X17_1,X17_2,X17_3,X17_4,X17_5,X17_6,X17_7,X17_8,X17_9,X17_10,X17_11,X17_11_TEXT,X18_1,X18_2,X18_3,X18_4,X18_5,X18_6,X18_7,X18_8,X18_9,X19_1,X19_2,X19_3,X19_4,X19_5,X19_6,X19_7,X19_8,X19_9,X19_9_TEXT,X20_1,X20_2,X20_3,X20_4,X20_5,X20_6,X20_6_TEXT,X21,X22,X23,X24,X25,X26,X27,X28,X29_1,X29_2,X29_3,X29_4,X29_5,X29_6,X29_7,X29_8,X29_9,X29_10,X29_10_TEXT,X30,X31,X32_1,X32_2,X32_3,X32_4,X33_1,X33_2,X33_3,X33_4,X33_5,X33_6,X33_7,X33_8,X33_9,X34,X35,X36_1,X36_2,X36_3,X37,X38_1,X38_2,X38_3,X38_4,X38_5,X38_6,X38_7,X38_8,X38_8_TEXT,X39_1,X40_1,X41_1,cat_universidad,cat_bachillerato,Cat,tipo_institucion,tipo_sostenimiento,tipo_ies,tipo_ub,CLAVE_IES,ENTIDAD,SOSTENIMIENTO,REGION,CLASIFICACION_911,Rango_finalizacion_minutos,despues_15_nov
UNIVERSIDAD VERACRUZANA,2025-10-28 12:06:00 UTC,2025-10-28 12:11:00 UTC,0,189.220.251.140,100,319,2025-10-28 12:11:00 UTC,R_6pT3IBGtIhxemXu,20.5294,-97.4302,anonymous,1,,,1,1,,,1,,1,,,,,,,,,,1,1,,,,4,2,7,,1,1,,,,,,,,,,,,,,,,5,5,5,5,5,5,6,5,6,5,5,5,5,5,5,5,5,5,2,3,3,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,1,1,2,3,5,,1,,,,,,,,,,20,2,,,1,,,1,,,,,,,,1,2,1,,,1,1,,1,,,,,,,VERACRUZ DE IGNACIO DE LA LLAVE,UNIVERSIDAD VERACRUZANA,FACULTAD DE ARQUITECTURA,VERACRUZ DE IGNACIO DE LA LLAVE/UNIVERSIDAD VERACRUZANA/FACULTAD DE ARQUITECTURA,,VERACRUZ DE IGNACIO DE LA LLAVE/UNIVERSIDAD VERACRUZANA/FACULTAD DE ARQUITECTURA,Universidad,Público,UPES,Universidad,30MSU0940B,VERACRUZ DE IGNACIO DE LA LLAVE,PÚBLICO,SUR-SURESTE,UNIVERSIDADES PÚBLICAS ESTATALES,De 6 a 15 minutos,0
UNIVERSIDAD VERACRUZANA,2025-10-27 15:23:00 UTC,2025-10-27 15:51:00 UTC,0,172.226.122.22,100,1665,2025-10-27 15:51:00 UTC,R_6B3vvup7btuGxVc,19.2858,-99.6525,anonymous,1,,1,,1,,,1,,1,,,,,,,,,,1,1,,1,,4,2,4,,1,1,1,,1,1,1,1,1,1,,,1,,,,,6,6,5,6,6,6,3,6,4,5,5,5,4,3,5,5,6,5,2,3,3,1,,1,,,1,,,,,,,,5,6,4,6,6,5,4,5,6,,,1,,1,1,,,,,,,,,,,,,,3,1,1,2,2,4,1,,1,,,1,,,,,,23,1,,,1,,,1,,,,,,,,5,2,1,1,1,1,1,,1,,,1,1,,,VERACRUZ DE IGNACIO DE LA LLAVE,UNIVERSIDAD VERACRUZANA,FACULTAD DE CIENCIAS QUÍMICAS,VERACRUZ DE IGNACIO DE LA LLAVE/UNIVERSIDAD VERACRUZANA/FACULTAD DE CIENCIAS QUÍMICAS,,VERACRUZ DE IGNACIO DE LA LLAVE/UNIVERSIDAD VERACRUZANA/FACULTAD DE CIENCIAS QUÍMICAS,Universidad,Público,UPES,Universidad,30MSU0940B,VERACRUZ DE IGNACIO DE LA LLAVE,PÚBLICO,SUR-SURESTE,UNIVERSIDADES PÚBLICAS ESTATALES,De 16 a 30 minutos,0
UNIVERSIDAD VERACRUZANA,2025-11-14 08:12:18 UTC,2025-11-14 08:19:29 UTC,0,148.226.108.67,100,430,2025-11-14 08:19:29 UTC,R_6dGiRtJgb2CPHGA,19.542,-96.8959,anonymous,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,5,2,3,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,6,4,4,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,,0,0,0,0,0,0,,0,0,3,2,2,2,4,6,0,0,0,0,0,0,0,0,1,0,,19,5,0,0,0,1,0,0,0,0,0,0,0,0,1,5,2,1,1,1,1,1,1,1,1,1,0,1,0,,VERACRUZ DE IGNACIO DE LA LLAVE,UNIVERSIDAD VERACRUZANA,FACULTAD DE MATEMÁTICAS,VERACRUZ DE IGNACIO DE LA LLAVE/UNIVERSIDAD VERACRUZANA/FACULTAD DE MATEMÁTICAS,,VERACRUZ DE IGNACIO DE LA LLAVE/UNIVERSIDAD VERACRUZANA/FACULTAD DE MATEMÁTICAS,Universidad,Público,UPES,Universidad,30MSU0940B,VERACRUZ DE IGNACIO DE LA LLAVE,PÚBLICO,SUR-SURESTE,UNIVERSIDADES PÚBLICAS ESTATALES,De 6 a 15 minutos,0
UNIVERSIDAD VERACRUZANA,2025-12-05 18:35:03 UTC,2025-12-05 18:44:42 UTC,0,187.190.158.237,100,579,2025-12-05 18:44:42 UTC,R_7q9YyJjYikl6nbC,19.1681,-96.1836,anonymous,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,3,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,5,5,5,4,5,1,5,5,4,4,4,4,4,4,5,4,5,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,1,1,1,2,1,4,1,0,1,0,0,0,0,0,0,0,,21,2,0,0,1,0,0,0,0,0,0,0,0,0,1,9,1,1,1,1,1,1,0,1,0,0,0,0,0,,VERACRUZ DE IGNACIO DE LA LLAVE,UNIVERSIDAD VERACRUZANA,FACULTAD DE MEDICINA,VERACRUZ DE IGNACIO DE LA LLAVE/UNIVERSIDAD VERACRUZANA/FACULTAD DE MEDICINA,,VERACRUZ DE IGNACIO DE LA LLAVE/UNIVERSIDAD VERACRUZANA/FACULTAD DE MEDICINA,Universidad,Público,UPES,Universidad,30MSU0940B,VERACRUZ DE IGNACIO DE LA LLAVE,PÚBLICO,SUR-SURESTE,UNIVERSIDADES PÚBLICAS ESTATALES,De 6 a 15 minutos,1
UNIVERSIDAD VERACRUZANA,2025-12-10 12:46:17 UTC,2025-12-10 12:59:04 UTC,0,189.201.64.31,100,766,2025-12-10 12:59:04 UTC,R_6JtjmTSM8VVBqiY,19.4036,-99.0971,anonymous,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,5,2,8,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,,4,3,5,5,5,6,2,3,3,3,2,4,2,2,2,5,5,6,5,4,1,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,,0,0,0,0,0,0,,0,0,2,1,1,2,3,4,1,1,1,0,1,0,0,1,0,0,,20,2,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1,1,1,0,1,0,0,1,0,0,,VERACRUZ DE IGNACIO DE LA LLAVE,UNIVERSIDAD VERACRUZANA,FACULTAD DE DERECHO,VERACRUZ DE IGNACIO DE LA LLAVE/UNIVERSIDAD VERACRUZANA/FACULTAD DE DERECHO,,VERACRUZ DE IGNACIO DE LA LLAVE/UNIVERSIDAD VERACRUZANA/FACULTAD DE DERECHO,Universidad,Público,UPES,Universidad,30MSU0940B,VERACRUZ DE IGNACIO DE LA LLAVE,PÚBLICO,SUR-SURESTE,UNIVERSIDADES PÚBLICAS ESTATALES,De 6 a 15 minutos,1
UNIVERSIDAD VERACRUZANA,2025-10-30 08:48:00 UTC,2025-10-30 08:55:00 UTC,0,201.111.1.114,100,440,2025-10-30 08:55:00 UTC,R_6DbGSw7utDRmrRi,19.1616,-96.1138,anonymous,1,,1,1,1,,,1,,,,,,,,,,,,1,,,,,2,2,2,1,,,,,,,,,,,,,,,,,,5,5,6,4,5,5,3,4,3,5,4,4,4,5,6,5,4,3,2,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,1,2,2,3,,,,,,,1,,,,,18,2,,,1,,,,,,,,,,1,7,2,1,1,1,1,1,,1,,,,,,,VERACRUZ DE IGNACIO DE LA LLAVE,UNIVERSIDAD VERACRUZANA,FACULTAD DE INGENIERÍA ELÉCTRICA Y ELECTRÓNICA,VERACRUZ DE IGNACIO DE LA LLAVE/UNIVERSIDAD VERACRUZANA/FACULTAD DE INGENIERÍA ELÉCTRICA Y ELECTRÓNICA,,VERACRUZ DE IGNACIO DE LA LLAVE/UNIVERSIDAD VERACRUZANA/FACULTAD DE INGENIERÍA ELÉCTRICA Y ELECTRÓNICA,Universidad,Público,UPES,Universidad,30MSU0940B,VERACRUZ DE IGNACIO DE LA LLAVE,PÚBLICO,SUR-SURESTE,UNIVERSIDADES PÚBLICAS ESTATALES,De 6 a 15 minutos,0
UNIVERSIDAD VERACRUZANA,2025-11-10 20:30:50 UTC,2025-11-10 20:35:58 UTC,0,200.68.169.158,100,308,2025-11-10 20:35:59 UTC,R_5MGQHEKXqjFxkRM,19,-98,anonymous,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,4,2,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,5,5,5,5,5,5,4,5,5,5,5,4,1,1,1,5,5,5,5,1,2,1,1,0,0,1,1,0,0,0,0,0,0,,5,5,4,5,5,1,1,5,5,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,3,1,1,2,3,4,1,1,0,0,1,1,0,1,0,0,,18,1,0,0,0,1,0,0,0,0,0,0,0,0,1,4,2,0,1,1,2,0,0,1,0,0,0,0,0,,VERACRUZ DE IGNACIO DE LA LLAVE,UNIVERSIDAD VERACRUZANA,FACULTAD DE NEGOCIOS Y TECNOLOGÍAS,VERACRUZ DE IGNACIO DE LA LLAVE/UNIVERSIDAD VERACRUZANA/FACULTAD DE NEGOCIOS Y TECNOLOGÍAS,,VERACRUZ DE IGNACIO DE LA LLAVE/UNIVERSIDAD VERACRUZANA/FACULTAD DE NEGOCIOS Y TECNOLOGÍAS,Universidad,Público,UPES,Universidad,30MSU0940B,VERACRUZ DE IGNACIO DE LA LLAVE,PÚBLICO,SUR-SURESTE,UNIVERSIDADES PÚBLICAS ESTATALES,De 6 a 15 minutos,0
UNIVERSIDAD VERACRUZANA,2025-11-13 23:42:47 UTC,2025-11-14 00:01:17 UTC,0,189.148.210.123,100,1109,2025-11-14 00:01:17 UTC,R_5SHctXpSKPWRAZ7,18.1317,-94.3965,anonymous,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,4,2,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,5,5,5,5,6,5,6,5,4,4,4,5,3,3,3,6,4,4,5,3,3,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,3,1,1,1,3,4,1,0,0,0,0,0,0,0,0,0,,17,2,0,0,0,1,0,0,0,0,0,0,0,0,1,9,1,1,1,1,1,1,0,1,0,0,0,0,0,,VERACRUZ DE IGNACIO DE LA LLAVE,UNIVERSIDAD VERACRUZANA,FACULTAD DE ENFERMERÍA,VERACRUZ DE IGNACIO DE LA LLAVE/UNIVERSIDAD VERACRUZANA/FACULTAD DE ENFERMERÍA,,VERACRUZ DE IGNACIO DE LA LLAVE/UNIVERSIDAD VERACRUZANA/FACULTAD DE ENFERMERÍA,Universidad,Público,UPES,Universidad,30MSU0940B,VERACRUZ DE IGNACIO DE LA LLAVE,PÚBLICO,SUR-SURESTE,UNIVERSIDADES PÚBLICAS ESTATALES,De 16 a 30 minutos,0
UNIVERSIDAD VERACRUZANA,2025-11-25 13:37:48 UTC,2025-11-25 13:45:47 UTC,0,148.226.157.17,100,479,2025-11-25 13:45:47 UTC,R_7BfFTwvZfbQIwKG,18.1367,-94.5041,anonymous,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,,1,1,0,0,0,4,1,4,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,4,5,5,5,6,6,4,6,6,4,4,2,2,2,2,6,5,5,2,4,3,1,1,1,0,0,1,0,0,0,0,0,0,,5,5,4,5,5,4,4,4,4,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,3,1,1,1,2,3,1,1,0,0,1,1,0,0,0,0,,19,1,0,0,1,0,0,0,0,0,0,0,0,0,1,9,2,1,1,1,1,1,0,1,0,1,1,0,0,,VERACRUZ DE IGNACIO DE LA LLAVE,UNIVERSIDAD VERACRUZANA,FACULTAD DE MEDICINA,VERACRUZ DE IGNACIO DE LA LLAVE/UNIVERSIDAD VERACRUZANA/FACULTAD DE MEDICINA,,VERACRUZ DE IGNACIO DE LA LLAVE/UNIVERSIDAD VERACRUZANA/FACULTAD DE MEDICINA,Universidad,Público,UPES,Universidad,30MSU0940B,VERACRUZ DE IGNACIO DE LA LLAVE,PÚBLICO,SUR-SURESTE,UNIVERSIDADES PÚBLICAS ESTATALES,De 6 a 15 minutos,1
UNIVERSIDAD VERACRUZANA,2025-11-25 12:56:13 UTC,2025-11-25 13:03:37 UTC,0,172.226.122.27,100,444,2025-11-25 13:03:38 UTC,R_71zjKDIiYrcqcMN,19.1681,-96.1836,anonymous,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,4,2,6,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,3,2,2,2,3,5,1,0,0,0,0,0,0,0,0,0,,21,1,0,1,0,0,0,0,0,0,0,0,0,0,1,9,2,1,1,1,1,1,1,1,0,0,0,0,0,,VERACRUZ DE IGNACIO DE LA LLAVE,UNIVERSIDAD VERACRUZANA,FACULTAD DE MEDICINA,VERACRUZ DE IGNACIO DE LA LLAVE/UNIVERSIDAD VERACRUZANA/FACULTAD DE MEDICINA,,VERACRUZ DE IGNACIO DE LA LLAVE/UNIVERSIDAD VERACRUZANA/FACULTAD DE MEDICINA,Universidad,Público,UPES,Universidad,30MSU0940B,VERACRUZ DE IGNACIO DE LA LLAVE,PÚBLICO,SUR-SURESTE,UNIVERSIDADES PÚBLICAS ESTATALES,De 6 a 15 minutos,1
